t,Surface,vessel,distance,input,POI
35,40.09,6,0,40,62.97
36,40.12,6,0,40,63.43
37,40.15,6,0,40,63.88
38,40.17,6,0,40,64.32
39,40.20,6,0,40,64.75
40,40.22,6,0,40,65.18
41,40.25,6,0,40,65.60
42,40.27,6,0,40,66.01
43,40.29,6,0,40,66.41
44,40.31,6,0,40,66.80
45,40.34,6,0,40,67.19
46,40.36,6,0,40,67.57
47,40.38,6,0,40,67.95
48,40.40,6,0,40,68.31
49,40.42,6,0,40,68.68
50,40.44,6,0,40,69.03
51,40.46,6,0,40,69.38
52,40.48,6,0,40,69.73
53,40.50,6,0,40,70.07
54,40.51,6,0,40,70.40
55,40.53,6,0,40,70.73
56,40.55,6,0,40,71.06
57,40.57,6,0,40,71.38
58,40.59,6,0,40,71.70
59,40.60,6,0,40,72.01
60,40.62,6,0,40,72.31
61,40.64,6,0,40,72.62
62,40.65,6,0,40,72.91
63,40.67,6,0,40,73.21
64,40.68,6,0,40,73.50
65,40.70,6,0,40,73.78
66,40.71,6,0,40,74.07
67,40.73,6,0,40,74.34
68,40.74,6,0,40,74.62
69,40.76,6,0,40,74.89
70,40.77,6,0,40,75.16
71,40.79,6,0,40,75.42
72,40.80,6,0,40,75.68
73,40.81,6,0,40,75.94
74,40.83,6,0,40,76.20
75,40.84,6,0,40,76.45
76,40.85,6,0,40,76.70
77,40.87,6,0,40,76.94
78,40.88,6,0,40,77.19
79,40.89,6,0,40,77.43
80,40.91,6,0,40,77.66
81,40.92,6,0,40,77.90
82,40.93,6,0,40,78.13
83,40.94,6,0,40,78.36
84,40.95,6,0,40,78.59
85,40.97,6,0,40,78.81
86,40.98,6,0,40,79.03
87,40.99,6,0,40,79.25
88,41.00,6,0,40,79.47
89,41.01,6,0,40,79.68
90,41.02,6,0,40,79.90
91,41.03,6,0,40,80.11
92,41.05,6,0,40,80.32
93,41.06,6,0,40,80.52
94,41.07,6,0,40,80.72
95,41.08,6,0,40,80.93
96,41.09,6,0,40,81.13
97,41.10,6,0,40,81.32
98,41.11,6,0,40,81.52
99,41.12,6,0,40,81.71
100,41.13,6,0,40,81.90
101,41.14,6,0,40,82.09
